id,source,source_url,preview
fresno_so_2015_013,FRESNO SO,https://www.fresnosheriff.org/media-relations/stolen-car-crash-leads-to-arrest-of-burglary-crew.html,"January 23, 2015 Publication date: 2015-01-23 Source: Deputies have arrested four people believed to responsible for more than a half dozen burglaries during the last two months. They are: Jacob Ryan, 18, J oshua Ryan, 1"
fresno_so_2015_014,FRESNO SO,https://www.fresnosheriff.org/media-relations/accidental-911-calls-tie-up-resources-for-real-emergencies.html,"July 20, 2015 Publication date: 2015-07-20 Source: The Fresno County Sheriff’s Office is asking for the public’s help to reduce the ongoing problem of accidental 911 phone calls. From June 1 to July 19, 2015 , the Fresno"
fresno_so_2018_004,FRESNO SO,https://www.fresnosheriff.org/media-relations/man-fatally-stabbed-during-family-dispute.html,"July 09, 2018 Publication date: 2018-07-09 Source: Around 11:00 pm Sunday, Parlier Police responded to a home on the 800 block of Stanislaus Street in Parlier for a report of a domestic dispute. Officers arrived and were"
fresno_so_2019_004,FRESNO SO,https://www.fresnosheriff.org/media-relations/drowning-victim-recovered-and-identified.html,"September 03, 2019 Publication date: 2019-09-03 Source: Around 8:15 am on Tuesday, September 3rd, members of the Fresno County Sheriff’s Dive Unit recovered a man’s body from the bottom of the Kings River. He has been id"
fresno_so_2016_010,FRESNO SO,https://www.fresnosheriff.org/media-relations/coroner-s-office-locates-relatives-of-deceased-woman.html,"January 26, 2016 Publication date: 2016-01-26 Source: - The Fresno County Sheriff - Coroner's Office has located and spoken with Dena Forsythe's sons. We would like to thank the public for its attention and assistance in"
fresno_so_2016_011,FRESNO SO,https://www.fresnosheriff.org/media-relations/operation-santa-claus-travels-to-the-marjaree-mason-center.html,"December 20, 2016 Publication date: 2016-12-20 Source: On Tuesday, December 20th, Fresno County Sheriff Margaret Mims brought some early Christmas cheer to children affected by domestic violence. Sheriff Mims and her sta"
fresno_so_2017_004,FRESNO SO,https://www.fresnosheriff.org/media-relations/clovis-man-arrested-for-indecent-exposure-at-local-water-park.html,"June 28, 2017 Publication date: 2017-06-28 Source: Fresno County Sheriff’s Deputies arrested 52-year-old Robert Jack King of Clovis for exposing himself near the wave pool at Wild Water Adventure Park in Clovis. On June "
fresno_so_2022_003,FRESNO SO,https://www.fresnosheriff.org/media-relations/two-brothers-drown-in-avocado-lake.html,"June 06, 2022 Publication date: 2022-06-06 Source: Two men who drowned in Avocado Lake on Sunday, June 5th, have been identified as 25 year old Silverio Calihua and 23 year old Alvaro Calihua, both of Fresno. Shortly bef"
fresno_so_2018_005,FRESNO SO,https://www.fresnosheriff.org/media-relations/man-drowns-while-swimming-in-canal.html,"July 13, 2018 Publication date: 2018-07-13 Source: A man who drowned in a canal running through Selma has been identified as 39 year old Jimmy Renteria of Selma. At 8:00 pm on Thursday, dispatchers at the Fresno County S"
fresno_so_2019_005,FRESNO SO,https://www.fresnosheriff.org/media-relations/stay-safe-live-to-swim-another-day-2.html,"May 22, 2019 Publication date: 2019-05-22 Source: Summer is fast approaching and we know you will be hitting our natural waterways and private swimming pools to cool off. Fresno County Sheriff's Office County of Fresno C"
